,Topics,Alpha,Beta,Auto Coherence Umass,Intra/Inter Similarity word2vec10 1st version,Intra/Inter Similarity word2vec20 1st version,Intra/Inter Similarity word2vecGoogle 1st version,Intra/Inter Similarity word2vec10 2nd version,Intra/Inter Similarity word2vec20 2nd version,Intra/Inter Similarity word2vecGoogle 2nd version,NumberOfWordsNotInGoogleW2v,Topic Distance JS,Auto Coherence without pretrained,Auto Coherence with word2vec10,Auto Coherence with word2vec20,Auto Coherence with word2vecGoogle
61,22,0.01,0.31,-3.2446926151215165,1.1860119069741233,1.1747198018968823,0.7136270862140969,1.0892685226219476,1.0831121868558422,1.0078494359946302,"(5, 304)",0.7918958039582805,0.7227135,0.48119068,0.46380815,0.59339213
62,22,0.01,0.61,-3.2798299558892863,1.201456957994999,1.1908848991097667,0.7267625478373736,1.0972278340656785,1.0910036903075355,1.00927669550537,"(5, 312)",0.7903431814604301,0.73080134,0.49876902,0.4816494,0.60955894
63,22,0.01,symmetric,-3.002783834420577,1.2138960655865458,1.2024473015592876,0.7283865958100999,1.100805649683997,1.0939803093259928,1.0095173579621763,"(5, 321)",0.7988895240989523,0.7310207,0.50621694,0.48773125,0.6150748
64,22,0.31,0.01,-3.224403273096948,1.2026524870907789,1.1935445044935806,0.7210711228009496,1.094483201689354,1.088403146794757,1.0070526227933922,"(6, 352)",0.8078978939054888,0.7202201,0.48763874,0.4711092,0.61164176
65,22,0.31,0.31,-3.092434732322043,1.207628287673725,1.1964898573755012,0.7253281286051269,1.095539320046588,1.0891503630938226,1.008666553341171,"(5, 342)",0.8051957689239794,0.71936613,0.49019864,0.473057,0.61597383
66,22,0.31,0.61,-3.106346719195308,1.2091931552399626,1.1979016438450751,0.724773553248467,1.096939702499583,1.0902764659555069,1.0083347386007149,"(6, 344)",0.8067209600008753,0.7218613,0.4936018,0.47592327,0.6155232
67,22,0.31,symmetric,-3.1149627255847534,1.2036557053798866,1.195860041015837,0.7224328932666368,1.0939657530389235,1.088168187483774,1.0082823271346206,"(3, 348)",0.8074004732100074,0.72218317,0.48525953,0.4693289,0.6136885
68,22,0.61,0.01,-3.0834199575875583,1.2254655449350718,1.2198463408583162,0.7247743325256678,1.1025952684006344,1.0970989576618118,1.0081545745620153,"(0, 383)",0.8193034540795086,0.73270154,0.49875996,0.48446864,0.6169601
69,22,0.61,0.31,-3.16890049752265,1.2201555659152077,1.213872561908498,0.725983661521882,1.09976080287372,1.0943668307868228,1.0074875428974572,"(4, 385)",0.8198721471666449,0.72743136,0.49295542,0.4790039,0.62211704
70,22,0.61,0.61,-3.1463983667108706,1.2191320676384736,1.212407918847072,0.7247304004924234,1.1000135541027731,1.0945193730853178,1.0080813089310945,"(4, 377)",0.8187377782398085,0.72935903,0.49325445,0.47907972,0.61693215
71,22,0.61,symmetric,-3.1001156076696814,1.2225199728082792,1.217304982070886,0.7220329639787264,1.1023419289122378,1.0968334054463291,1.0082542511176038,"(0, 389)",0.8188242903379258,0.73256207,0.4980874,0.48369616,0.6112493
72,22,symmetric,0.01,-3.0079280969214723,1.2009148149347084,1.1928578676797386,0.721594043428627,1.0963909274328132,1.090442919631682,1.0086617398609674,"(2, 321)",0.7979883313069378,0.73363584,0.49718094,0.4802104,0.6044482
73,22,symmetric,0.31,-3.2890583405528555,1.1971146682882128,1.1870067733121978,0.7181500574069022,1.0950748263814412,1.0886697022953888,1.008058950112613,"(6, 311)",0.7921919237835361,0.7238028,0.493781,0.4761122,0.6008052
74,22,symmetric,0.61,-3.1538193053627923,1.200473112668125,1.1887006707213028,0.7304519484021915,1.0989650884336593,1.0921958845046864,1.010990019660533,"(5, 309)",0.7952593242022183,0.73553795,0.50415564,0.4856377,0.61458486
75,22,symmetric,symmetric,-2.954670872463611,1.2136866052558837,1.2030491022342336,0.7215879515862976,1.1029602195078552,1.0962849443372855,1.0079479242786762,"(5, 321)",0.796858460502284,0.7361047,0.5126248,0.49436367,0.60813856
76,22,asymmetric,0.01,-3.3591789694914453,1.2157460208034865,1.204693722937252,0.7277424602891372,1.097668298872699,1.091447500529624,1.009608121301923,"(5, 338)",0.8022299084322388,0.72256017,0.49442396,0.47795582,0.61343855
77,22,asymmetric,0.31,-3.002184837106177,1.19110711707224,1.1850671575244696,0.7228644108380212,1.0923846400632164,1.08710025327994,1.0088839757019283,"(5, 309)",0.7927295414425624,0.7254944,0.4878421,0.47244605,0.6072412
78,22,asymmetric,0.61,-2.796484422689608,1.2180149766010102,1.204934186584132,0.7271368587457134,1.1004068693725515,1.0930668727595172,1.0103758430743688,"(0, 310)",0.7930886834228166,0.7325313,0.50313884,0.4840944,0.6080267
79,22,asymmetric,symmetric,-3.92280809023752,1.204752390849423,1.192326453588398,0.722611193250687,1.0931343269921143,1.086556997792832,1.0088746003988058,"(5, 340)",0.8026780128653211,0.7107025,0.48081437,0.46397722,0.6047764
80,24,0.01,0.01,-3.1514004640071125,1.2002782610395126,1.189904818571787,0.7284754764383274,1.0957564408767089,1.089554030803119,1.009535384614896,"(5, 353)",0.8038060366183903,0.72531635,0.49504864,0.47769976,0.6146349
81,24,0.01,0.31,-2.943967855135426,1.205856919320744,1.1930917799861855,0.7257223541857047,1.1006641867825997,1.0933974805535165,1.0090689983350944,"(5, 338)",0.7934921109137671,0.7338545,0.5080595,0.48830998,0.61038166
82,24,0.01,0.61,-3.1991393137486086,1.2050785463107407,1.1913422651023,0.7294789120130997,1.0966630180071202,1.0893046901238734,1.0107410685204334,"(5, 341)",0.7978059510721923,0.7270405,0.49713412,0.47751626,0.6096064
